OBJETO DE CONHECIMENTO;BIMESTRE
LEITURA, ESCRITA, COMPARA«√O E ORDENA«√O DE N˙MEROS DE AT… TRÍS ORDENS PELA COMPREENS√O DE CARACTERÕSTICAS DO SISTEMA DE NUMERA«√O DECIMAL: VALOR POSICIONAL E PAPEL DO ZERO.  - VALOR ABSOLUTO..;1
LEITURA, ESCRITA, COMPARA«√O E ORDENA«√O DE N˙MEROS DE AT… TRÍS ORDENS PELA COMPREENS√O DE CARACTERÕSTICAS DO SISTEMA DE NUMERA«√O DECIMAL: ORDEM E CLASSES NUM…RICAS.;1
LEITURA, ESCRITA, COMPARA«√O E ORDENA«√O DE N˙MEROS DE AT… TRÍS ORDENS PELA COMPREENS√O DE CARACTERÕSTICAS DO SISTEMA DE NUMERA«√O DECIMAL: REPRESENTA«√O NA RETA NUM…RICA.;1
LEITURA, ESCRITA, COMPARA«√O E ORDENA«√O DE N˙MEROS DE AT… TRÍS ORDENS PELA COMPREENS√O DE CARACTERÕSTICAS DO SISTEMA DE NUMERA«√O DECIMAL: ESTIMATIVAS E CONTAGEM AT… 1000.;1
LEITURA, ESCRITA, COMPARA«√O E ORDENA«√O DE N˙MEROS DE AT… TRÍS ORDENS PELA COMPREENS√O DE CARACTERÕSTICAS DO SISTEMA DE NUMERA«√O DECIMAL: COMPARA«√O POR CORRESPONDÍNCIA OU POR ESTIMATIVAS ENTRE CONJUNTOS.;1
COMPOSI«√O E DECOMPOSI«√O DE N˙MEROS NATURAIS (AT… 1000):COMPOSI«√O E DECOMPOSI«√O DE N˙MEROS NATURAIS DE AT… 3 ORDENS COM MATERIAL MANIPUL¿VEL.;1
CONSTRU«√O DE SEQU NCIAS REPETITIVAS E DE SEQU NCIAS RECURSIVAS: CONSTRU«√O DE SEQU NCIAS NUM…RICAS EM ORDEM CRESCENTE OU DECRESCENTE: DE 2 EM 2, 3 EM 3, 5 EM 5, 10 EM 10 ETC.;1
LOCALIZA«√O E MOVIMENTA«√O DE PESSOAS E OBJETOS NO ESPA«O: RELA«ıES DE OBJETOS NO ESPA«O.;1
LOCALIZA«√O E MOVIMENTA«√O DE PESSOAS E OBJETOS NO ESPA«O: LOCALIZA«√O OU DESLOCAMENTO, SEGUNDO PONTOS DE REFER NCIA E INDICA«√O DE MUDAN«AS DE DIRE«√O E SENTIDO.;1
"AN¡LISE DA IDEIA DE ALEAT”RIO EM SITUA«ıES DO COTIDIANO: CLASSIFICA«√O DE RESULTADOS DE EVENTOS ALEAT”RIOS DO COTIDIANO COMO ""POUCO PROV¡VEIS"", ""MUITO PROV¡VEIS"", ""IMPROV¡VEIS"" E ""IMPOSSÕVEIS"".";1
MEDIDA DE COMPRIMENTO: UNIDADES N√O PADRONIZADAS E PADRONIZADAS (METRO, CENTÕMETRO E MILÕMETRO).;1
MEDIDA DE COMPRIMENTO: USO DE POLÕGONOS PARA MEDIDAS N√O PADRONIZADAS E PADRONIZADAS (METRO, CENTÕMETRO E MILÕMETRO).;1
CONCEITO;1
OPERA«’ES DETERMINANTES;1
SISTEMAS LINEARES;1
CONSTRU«√O DE FATOS FUNDAMENTAIS DA ADI«√O E DA SUBTRA«√O: C¡LCULO MENTAL DE ADI«√O E SUBTRA«√O UTILIZANDO A CONSTRU«√O DE FATOS DO COTIDIANO.;2
ADI«√O E SUBTRA«√O: ENVOLVIMENTO DE DIFERENTES SIGNIFICADOS DA ADI«√O E DA SUBTRA«√O (JUNTAR, ACRESCENTAR, SEPARAR, RETIRAR).;2
CONSTRU«√O DE SEQU NCIAS REPETITIVAS E DE SEQU NCIAS RECURSIVAS: CONSTRU«√O DE SEQU NCIAS NUM…RICAS EM ORDEM CRESCENTE OU DECRESCENTE - DE 2 EM 2, 3 EM 3, 5 EM 5, 10 EM 10 ETC.;2
ESBO«O DE ROTEIROS E DE PLANTAS SIMPLES: CONSTRU«√O DE ITINER¿RIOS DO COTIDIANO - MAPAS, PLANTAS, CROQUIS E DIAGRAMA.;2
COLETA, CLASSIFICA«√O E REPRESENTA«√O DE DADOS EM TABELAS SIMPLES E DE DUPLA ENTRADA E EM GR¡FICOS DE COLUNAS: COMPARAR INFORMA«’ES EM TABELAS SIMPLES E DE DUPLA ENTRADA;2
COLETA, CLASSIFICA«√O E REPRESENTA«√O DE DADOS EM TABELAS SIMPLES E DE DUPLA ENTRADA E EM GR¡FICOS DE COLUNAS: GR¡FICOS DE COLUNA OU EM BARRAS.;2
MEDIDA DE CAPACIDADE E DE MASSA: UNIDADES DE MEDIDA N√O CONVENCIONAIS E CONVENCIONAIS (LITRO, MILILITRO, GRAMA E QUILOGRAMA).;2
AN¡LISE COMBINAT”RIA: ARRANJO;2
AN¡LISE COMBINAT”RIA: COMBINA«√O;2
AN¡LISE COMBINAT”RIA: FATORIAL;2
AN¡LISE COMBINAT”RIA: PERMUTA«√O;2
AN¡LISE COMBINAT”RIA: PFC;2
PROBABILIDADE;2
POSI«’ES RELATIVAS: PONTO E PLANO;2
POSI«’ES RELATIVAS: PONTO E RETA;2
