OBJETO DE CONHECIMENTO;BIMESTRE
CONCEITO;25
OPERAÇÕES DETERMINANTES;25
SISTEMAS LINEARES;25
ANÁLISE COMBINATÓRIA: ARRANJO;26
ANÁLISE COMBINATÓRIA: COMBINAÇÃO;26
ANÁLISE COMBINATÓRIA: FATORIAL;26
ANÁLISE COMBINATÓRIA: PERMUTAÇÃO;26
ANÁLISE COMBINATÓRIA: PFC;26
PROBABILIDADE;26
POSIÇÕES RELATIVAS: PONTO E PLANO;26
POSIÇÕES RELATIVAS: PONTO E RETA;26
POSIÇÕES RELATIVAS: DISTÂNCIAS;26
PARALELISMO NO ESPAÇO;27
PROJEÇÃO ORTOGONAL;27
ESTATÍSTICA: POPULAÇÃO, GRÁFICOS, TABELAS E LINHAS;28
FREQUÊNCIAS - ABSOLUTA E RELATIVA;28
MÉDIA ARITMÉTICA SIMPLES E PONDERADA;28
MEDIANA E MODA;28
PROBABILIDADES (PROBABILIDADE DE UM EVENTO);28
TIPOS DE EVENTOS;28
PORCENTAGEM;28
MEDIDAS DE TENDÊNCIA CENTRAL;28
NÚMEROS REAIS E INTRODUÇÃO À ÁLGEBRA;28
CONCEITOS INICIAIS DE ÁLGEBRA;28
