OBJETO DE CONHECIMENTO;BIMESTRE
A ORTOGRAFIA NA CONSTRU«√O DO TEXTO;29
HIST”RIA DAS MULHERES ESCRITORAS NO BRASIL, EM PORTUGAL E NOS PAÕSES AFRICANOS DE LÕNGUA PORTUGUESA;29
O ROMANTISMO PORTUGU S NA HIST”RIA;29
BLOG;29
O G NERO DEBATE;29
DECODIFICA«√O/FLUÍNCIA DE LEITURA: LEITURA/ESCUTA COLETIVA DE PALAVRAS USADAS COM FREQUÍNCIA E/OU TEXTOS CONHECIDOS - CANTIGAS E POEMAS LOCAIS, REGIONAIS E NACIONAIS, LETRAS DE M˙SICAS INFANTIS ENTRE OUTROS. (A/C);30
DECODIFICA«√O/FLUÍNCIA DE LEITURA: LEITURA GLOBAL DE TEXTOS MEMORIZADOS EM SITUA«ıES SIGNIFICATIVAS DE USO DA LÕNGUA ORAL E ESCRITA (RELA«√O DE ALUNOS DA TURMA, NOMES DE R”TULOS E PRODUTOS COMERCIAIS, RELA«√O DE BRINQUEDOS E BRINCADEIRAS... (A/C);30
FORMA«√O DE LEITOR - PROCEDIMENTOS DE LEITURA: LEITURA COMPARTILHADA, COM ESTRAT…GIAS DE LEITURA (ANTECIPA«ıES, PREVISıES E CONFIRMA«ıES DA TEM¡TICA E DO ENREDO, COM BASE NAS MARCAS TEXTUAIS: TÕTULO, ILUSTRA«ıES, CONTEXTO DE PRODU«√O E ... (C);30
APRECIA«√O EST…TICA/ESTILO: ESCUTA/LEITURA DE POEMAS E OUTROS TEXTOS VERSIFICADOS COM DIFERENTES ESTRUTURAS (CANTIGAS REGIONAIS, M˙SICAS E MODINHAS, PARLENDAS, TOADAS, ACALANTOS, BRINCOS, CANTOS DA FLORESTA E OUTROS GÍNEROS REGIONAIS) ... (A/C);30
FORMA«√O DO LEITOR LITER¡RIO: LEITURA COMPARTILHADA E AUT‘NOMA DE CONTOS (DE FADAS, ASSOMBRA«√O, ACUMULA«√O, POPULARES, ETC.), LENDAS (INDÕGENAS, AFRICANAS, BRASILEIRAS, ETC.), F¡BULAS, POESIAS E OUTROS GÍNEROS DO CAMPO ARTÕSTICO-LITER¡RIO... (I/A/C);30
FORMA«√O DE LEITOR - PROCEDIMENTOS DE LEITURA: DEFINI«√O DOS OBJETIVOS DE LEITURA E SELE«√O DE TEXTOS CONFORME AS NECESSIDADES E INTERESSES.  -LEITURA COMPARTILHADA, COM ESTRAT…GIAS DE LEITURA (ANTECIPA«ıES, PREVISıES E CONFIRMA«ıES... ;31
COMPREENS√O EM LEITURA: LEITURA/ESCUTA DE GÍNEROS TEXTUAIS DO CAMPO JORNALÕSTICO PARA P˙BLICO INFANTIL.  - ESTRAT…GIAS DE LEITURA: ANTECIPA«ıES E PREVISıES COM BASE NAS PISTAS TEXTUAIS, CONFIRMA«√O E V ERIFICA«√O DAS PREVISıES DURANTE A LEITURA...(A/C);31
PESQUISA: LEITURA/ESCUTA COMPARTILHADA DE TEXTOS INFORMATIVOS DE PESQUISA EM AMBIENTES DIGITAIS, IDENTIFICANDO NOS TEXTOS MULTISSEMI”TICOS ELEMENTOS QUE TRAGAM INFORMA«ıES SOBRE O TEMA DE ESTUDO E ELEMENTOS QUE N√O TÍM RELA«√O COM O TEMA... (I/A/C);31
RECONSTRU«√O DAS CONDI«ıES DE PRODU«√O E RECEP«√O - LEITURA/ESCUTA DE GÍNEROS TEXTUAIS DO CVC QUE CIRCULAM NAS DIVERSAS MÕDIAS.  - ESTRAT…GIAS DE LEITURA - ESTABELECIMENTO DOS OBJETIVOS DA LEITURA.  - IDENTIFICA«√O DOS ELEMENTOS DO CONTEXTO DE ... (A);31
LEITURA COLABORATIVA E AUT‘NOMA: LEITURA/ESCUTA PARA FRUI«√O, EM COLABORA«√O COMO O PROFESSOR E COM OS COLEGAS, DE CONTOS (POPULARES, DE FADAS, ACUMULATIVOS...).  - ESTRAT…GIAS DE LEITURA - ANTECIPA«ıES, PREVISıES E CONFIRMA«ıES DA TEM¿TICA E... (A);31
COMPREENS√O EM LEITURA: LEITURA COMPARTILHADA, DE SLOGANS, AN˙NCIOS PUBLICIT¿RIOS E TEXTOS DE CAMPANHAS DE CONSCIENTIZA«√O DESTINADOS AO P˙BLICO INFANTIL CONSIDERANDO A SITUA«√O COMUNICATIVA, O TEMA E A FINALIDADE DOS TEXTOS - ESTRAT…GIAS DE...(A/C);32
IMAGENS ANALÕTICAS EM TEXTOS: LEITURA, EM COLABORA«√O OU COM AUTONOMIA, TEXTOS DE GÍNEROS INFORMATIVOS RELACIONADOS ¿ ATIVIDADE DE PESQUISA (ENQUETES, PEQUENAS ENTREVISTAS, REGISTRO DE EXPERIMENTA«ıES) ALUSIVOS A TEM¿TICAS LOCAIS, REGIONAIS...(I/A/C);32
RECONSTRU«√O DAS CONDI«ıES DE PRODU«√O E RECEP«√O DE TEXTOS: LEITURA/ESCUTA DE GÍNEROS TEXTUAIS DO CVC QUE CIRCULAM NAS DIVERSAS MÕDIAS.  - ESTRAT…GIASDE LEITURA - ESTABELECIMENTO DOS OBJETIVOS DA LEI TURA. (A);32
ESTRAT…GIA DE LEITURA: LOCALIZA«√O E RECUPERA«√O DE INFORMA«√O CONSIDERANDO OS OBJETIVOS DA LEITURA E DAS MARCAS/PISTAS DISPOSTAS NA SUPERFÕCIE TEXTUAL - INFER NCIAS DE INFORMA«’ES IMPLÕCITAS E EXPLÕCITAS, A PARTIR DAS RELA«’ES ENTRE OS CONHECIM...(A);32
PRODU«√O DE TEXTOS: PLANEJAMENTO, ESCRITA, REVIS√O E REESCRITA COLETIVA, EM COLABORA«√O COM PROFESSOR E COM OS COLEGAS, DE DIAGRAMAS, ENTREVISTAS, CURIOSIDADES, DENTRE OUTROS GÍNEROS DO CAMPO INVESTIGATIVO, DIGITAIS OU IMPRESSOS, CONSIDERANDO... (R);32
