OBJETO DE CONHECIMENTO;BIMESTRE
SISTEMA DE NUMERAÇÃO DECIMAL: REPRESENTAÇÃO DE NÚMEROS NA RETA NUMÉRICA USANDO ESCALAS DIVERSAS.;9
SISTEMA DE NUMERAÇÃO DECIMAL: COMPOSIÇÃO E DECOMPOSIÇÃO DE UM NÚMERO NATURAL DE ATÉ CINCO ORDENS, POR MEIO DE ADIÇÕES E MULTIPLICAÇÕES POR POTÊNCIAS DE 10.;9
PROPRIEDADES DAS OPERAÇÕES PARA O DESENVOLVIMENTO DE DIFERENTES ESTRATÉGIAS DE CÁLCULO COM NÚMEROS NATURAIS: COMPREENSÃO DOS SIGNIFICADOS, RELAÇÕES E PROPRIEDADES DA ADIÇÃO E SUBTRAÇÃO.;9
PROPRIEDADES DAS OPERAÇÕES PARA O DESENVOLVIMENTO DE DIFERENTES ESTRATÉGIAS DE CÁLCULO COM NÚMEROS NATURAIS: RESOLUÇÃO E ELABORAÇÃO DE PROBLEMAS COM NÚMEROS NATURAIS ENVOLVENDO ADIÇÃO E SUBTRAÇÃO.;9
PROPRIEDADES DAS OPERAÇÕES PARA O DESENVOLVIMENTO DE DIFERENTES ESTRATÉGIAS DE CÁLCULO COM NÚMEROS NATURAIS: RESOLUÇÃO DE SITUAÇÕES-PROBLEMAS ENVOLVENDO AS OPERAÇÕES DE ADIÇÃO E SUBTRAÇÃO.;9
RELAÇÕES ENTRE ADIÇÃO E SUBTRAÇÃO: ELABORAÇÃO E RESOLUÇÃO DE SITUAÇÕES-PROBLEMAS DE APLICAÇÕES DAS OPERAÇÕES ARITMÉTICAS.;9
LOCALIZAÇÃO E MOVIMENTAÇÃO. PONTOS DE REFERÊNCIA, DIREÇÃO E SENTIDO: DESCREVER DESLOCAMENTOS NO ESPAÇO, POR MEIO DE MALHA QUADRICULADA E REPRESENTAÇÕES COMO DESENHOS, MAPAS, PLANTA BAIXA E CROQUIS.;9
PARALELISMO E PERPENDICULARISMO: EXPERIMENTAÇÃO, DESCRIÇÃO E REPRESENTAÇÃO DE MOVIMENTOS DE PESSOAS E OBJETOS NO ESPAÇO.;9
FIGURAS GEOMÉTRICAS ESPACIAIS: RECONHECIMENTO, REPRESENTAÇÕES, CARACTERÍSTICAS E PLANIFICAÇÕES (PRISMAS E PIRÂMIDES).;9
FIGURAS GEOMÉTRICAS ESPACIAIS: DIFERENCIAR FIGURAS PLANAS E ESPACIAIS.;9
MEDIDAS DE COMPRIMENTO, MASSA E CAPACIDADE - ESTIMATIVAS, UTILIZAÇÃO DE INSTRUMENTOS DE MEDIDA E DE UNIDADES DE MEDIDA CONVENCIONAIS: MEDIDAS DE COMPRIMENTO: KM, M, CM, MM, PERÍMETRO.;9
MEDIDAS DE COMPRIMENTO, MASSA E CAPACIDADE - ESTIMATIVAS, UTILIZAÇÃO DE INSTRUMENTOS DE MEDIDA E DE UNIDADES DE MEDIDA CONVENCIONAIS: MEDIDAS DE MASSAS: KG, G, MG.;9
MEDIDAS DE COMPRIMENTO, MASSA E CAPACIDADE - ESTI-MATIVAS, UTILIZAÇÃO DE INSTRUMENTOS DE MEDIDA E DE UNIDADES DE MEDIDA CONVENCIONAIS: MEDIDAS CAPACIDADES: L, ML.;9
MEDIDAS DE COMPRIMENTO, MASSA E CAPACIDADE - ESTIMATIVAS, UTILIZAÇÃO DE INSTRUMENTOS DE MEDIDA E DE UNIDADES DE MEDIDA CONVENCIONAIS: RESOLUÇÃO E ELABORAÇÃO DE PROBLEMAS UTILIZANDO AS MEDIDAS ABORDADAS, RESPEITANDO A CULTURA LOCAL.;9
PROBLEMAS ENVOLVENDO DIFERENTES SIGNIFICADOS DA MULTIPLICAÇÃO E DIVISÃO: RESOLUÇÃO DE SITUAÇÕES-PROBLEMAS ENVOLVENDO MULTIPLICAÇÃO (ADIÇÃO DE PARCELA S IGUAIS, CONFIGURAÇÃO RETANGULAR E PROPORCIONALIDADE).;10
PROBLEMAS ENVOLVENDO DIFERENTES SIGNIFICADOS DA MULTIPLICAÇÃO E DIVISÃO: RESOLUÇÃO DE SITUAÇõES-PROBLEMA ENVOLVENDO DIVISÃO (REPARTIÇÃO EQUITATIVA E MEDIDAS COM TEMAS VOLTADOS PARA A REALIDADE AMAZÔNICA).;10
PROPRIEDADES DAS OPERAÇÕES PARA O DESENVOLVIMENTO DE DIFERENTES ESTRATÉGIAS DE CÁLCULO COM NÚMEROS NATURAIS: PROPRIEDADES DAS OPERAÇÕES ARITMÉTICAS.;10
PROPRIEDADES DAS OPERAÇÕES PARA O DESENVOLVIMENTO DE DIFERENTES ESTRATÉGIAS DE CÁLCULO COM NÚMEROS NATURAIS: ESTRATÉGIAS E CÁLCULOS APROXIMADOS DE RESOLUÇÃO DE PROBLEMAS ENVOLVENDO AS QUATRO OPERAÇÕES ARITMÉTICAS;10
PROPRIEDADES DAS OPERAÇÕES PARA O DESENVOLVIMENTO DE DIFERENTES ESTRATÉGIAS DE CÁLCULO COM NÚMEROS NATURAIS: RESOLUÇÃO DE SITUAÇÕES-PROBLEMAS ENVOLVENDO AS OPERAÇõES DE ADIÇÃO, SUBTRAÇÃO, MULTIPLICAÇÃO E DIVISÃO COM TEMAS VOLTADOS PARA A REALIDADE ...;10
RELAÇÕES ENTRE ADIÇÃO E SUBTRAÇÃO E ENTRE MULTIPLICAÇÃO E DIVISÃO: ELABORAÇÃO E RESOLUÇÃO DE SITUAÇõES-PROBLEMAS DE APLICAÇÕES DAS OPERAÇÕES ARITMÉTICAS.;10
SEQUÊNCIA NUMÉRICA RECURSIVA (OU RECORRENTE) FORMADA POR MÚLTIPLOS DE UM NÚMERO NATURAL: COMPREENSÃO DO SIGNIFICADO DE MÚLTIPLO.;10
