OBJETO DE CONHECIMENTO;BIMESTRE
FORMAÇÃO DE LEITOR: SELEÇÃO DE LITERATURA CONFORME OS OBJETIVOS DE LEITURA E CRITÉRIOS DE APRECIAÇÃO ESTÉTICA. (A);13
CONSTRUÇÃO DO SISTEMA ALFABÉTICO E DA ORTOGRAFIA: GRAFIA CORRETA DE PALAVRAS COM REGULARIDADES DIRETAS - P, B, F, V, T, D, QUE SÃO AQUELAS CUJOS SONS SÃO PARECIDOS. (I/A/C);13
CONSTRUÇÃO DO SISTEMA ALFABÉTICO E DA ORTOGRAFIA: GRAFIA CORRETA DE PALAVRAS COM REGULARIDADES CONTEXTUAIS, QUE SÃO AQUELAS EM QUE O CONTEXTO INTERNO DA PALAVRA É QUE DETERMINA QUE LETRA USAR - R/RR, S/SS, GA-GO-GU, GUE-GUI, CA-CO-CU, QUE... (I/A/C);13
PONTUAÇÃO: PERCEPÇÃO DAS MARCAS DO DISCURSO DIRETO E UTILIZAÇÃO CORRETA DE DOIS PONTOS (:), MUDANÇA DE LINHA PARA NOVO PARÁGRAFO E INÍCIO DA FALA COM TRAVESSÃO (-).  (I/A/C);13
PONTUAÇÃO: USO DE VÍRGULA EM ENUMERAÇÕES E EM SEPARAÇÃO DE VOCATIVO E APOSTO.  EMPREGO DA PONTUAÇÃO CORRETA EM TEXTOS PRODUZIDOS PARA APRESENTAR EXPRESSIVIDADE, LEGIBILIDADE E PROVOCAR... (I/A/C);13
MORFOLOGIA (SUFIXOS -AGEM, -OSO, -EZA, -IZAR/ISAR): GRAFIA DE PALAVRAS COM REGULARIDADES MORFOLÓGICO-GRAMATICAIS (SUBSTANTIVOS DERIVADOS DE ADJETIVOS - SUFIXO [EZA] PODE SER ESCRITO COM S OU Z, DEPENDENDO DA CLASSIFICAÇÃO GRAMATICAL DA ... (I/A/C);13
FORMA DE COMPOSIÇÃO DOS TEXTOS: IDENTIFICAÇÃO E REPRODUÇÃO, EM COLABORAÇÃO COM O PROFESSOR E COM AUTONOMIA, DE TEXTOS INJUNTIVOS (MANUAL DE INSTRUÇÕES DE JOGOS DIGITAIS OU IMPRESSOS) ORAIS OU ESCRITOS, CONSIDERANDO A FORMATAÇÃO - VERBOS ... (I/A/C);13
FORMA DE COMPOSIÇÃO DOS TEXTOS: IDENTIFICAÇÃO E REPRODUÇÃO, EM SITUAÇõES DE LEITURA E ESCRITA, DE VERBETES DE ENCICLOPÉDIA INFANTIL, DIGITAIS OU IMPRESSOS, A FORMATAÇÃO E DIAGRAMAÇÃO ESPECÍFICA DESSE GÊNERO (TÍTULO DO VERBETE, DEFINIÇÃO ...). (I/A/C);13
CONSTRUÇÃO DO SISTEMA ALFABÉTICO E DA ORTOGRAFIA: - ORDENAÇÃO ALFABÉTICA DE PALAVRAS.  - SEPARAÇÃO SILÁBICA.  - GRAFIA DE PALAVRAS. (C);13
FORMA DE COMPOSIÇÃO DE TEXTOS POÉTICOS: IDENTIFICAÇÃO DOS ELEMENTOS CONSTITUTIVOS DE TEXTOS POÉTICOS- RIMAS, VERSOS, COMPARAÇÕES, METÁFORAS, ALITERAÇÕES E OS EFEITOS DE SENTIDO DECORRENTES DO USO DESSES RECURSOS NOS TEXTOS LIDOS E PRODUZIDOS. (A);13
PONTUAÇÃO: UTILIZAÇÃO ADEQUADA DO PONTO FINAL, PONTO DE INTERROGAÇÃO, PONTO DE EXCLAMAÇÃO NA LEITURA E UTILIZAÇÃO NA ESCRITA. (I/A/C);13
PRODUÇÃO DE TEXTO ORAL: PLANEJAMENTO E PRODUÇÃO DE TUTORIAIS DE INSTRUÇÕES DE MONTAGEM, DE JOGOS E BRINCADEIRAS, EM ÁUDIO OU VÍDEO, CONSIDERANDO A SITUAÇÃO COMUNICATIVA, A FINALIDADE, O GÊNERO, O SUPORTE, OS INTERLOCUTORES, O CONTEXTO... (I/A/C);13
VARIAÇÃO LINGUÍSTICA: - MARCAS LINGUÍSTICAS  - CARACTERÍSTICAS REGIONAIS. (C);13
DECLAMAÇÃO: FEITA EM VOZ ALTA DE TEXTOS POÉTICOS DA CULTURA LOCAL, NACIONAL, TRADICIONAIS E AQUELES REFERENTES ÀS CULTURAS PERIFÉRICAS, OBSERVANDO A FLUÊNCIA, RITMO, ENTONAÇÃO, POSTURA CORPORAL E GESTOS ADEQUADOS AOS TEXTOS E SITUAÇÕES PROPOSTAS. (A);13
"ORALIDADE PÚBLICA/ INTERCÂMBIO CONVERSACIONAL EM SALA DE AULA: ORGANIZAÇÃO DA FALA; ARTICULAÇÃO CLARA DE PALAVRAS; ADEQUAÇÃO DO TOM DE VOZ. (C)";13
ESCUTA ATENTA: DE INTERVENÇÕES ORAIS SOBRE TEMAS LOCAIS, REGIONAIS E NACIONAIS, TEMÁTICAS INDÍGENAS E AFRO-BRASILEIRAS E TEMAS DIVERSOS CONFORME INTERESSE DA TURMA, BUSCANDO COMPREENDER O DISCURSO DE SEU(S) INTERLOCUTOR(ES) TOMANDO NOTAS E ...(C);13
