OBJETO DE CONHECIMENTO;BIMESTRE
TEXTUALIZAÇÃO DE TEXTOS ARGUMENTATIVOS E APRECIATIVOS: - FERRAMENTAS DE EDIÇÃO.;22
ESTRATÉGIAS DE ESCRITA - TEXTUALIZAÇÃO, REVISÃO E EDIÇÃO: - PRODUÇÃO E REVISÃO DE TEXTOS DE DIVULGAÇÃO CIENTÍFICA, A PARTIR DE NOTAS, SÍNTESES, ROTEIROS, E ENQUETES PARA PESQUISA.;22
ESTRATÉGIAS DE ESCRITA - TEXTUALIZAÇÃO, REVISÃO E EDIÇÃO: - RECURSOS LINGUÍSTICOS E SEMIÓTICOS.;22
CONSIDERAÇÃO DAS CONDIÇÕES DE PRODUÇÃO. ESTRATÉGIAS DE PRODUÇÃO: PLANEJAMENTO, TEXTUALIZAÇÃO E REVISÃO/EDIÇÃO: - TEXTUALIZAÇÃO, REVISÃO, EDIÇÃO E REESCRITA DE NARRATIVAS LITERÁRIAS.;22
PRODUÇÃO DE TEXTOS JORNALÍSTICOS ORAIS: - ROTEIRO.;22
PLANEJAMENTO E PRODUÇÃO DE TEXTOS JORNALÍSTICOS ORAIS: - PLANEJAMENTO E PRODUÇÃO DE TEXTOS JORNALÍSTICOS ORAIS: PRODUÇÃO, CIRCULAÇÃO E RECEPÇÃO.;22
RELAÇÃO DO TEXTO COM O CONTEXTO DE PRODUÇÃO E EXPERIMENTAÇÃO DE PAPÉIS SOCIAIS: - FERRAMENTAS DE REVISÃO, EDIÇÃO E PUBLICAÇÃO.;23
TEXTUALIZAÇÃO: - PRODUÇÃO E PUBLICAÇÃO DE TEXTOS DE VARIADOS GÊNEROS DO CJM RESPEITANDO O CONTEXTO SOCIAL LOCAL DE PRODUÇÃO, CIRCULAÇÃO E RECEPÇÃO.;23
ESTRATÉGIAS DE PRODUÇÃO: - RECURSOS LINGUÍSTICOS E SEMIÓTICOS.;23
PARTICIPAÇÃO EM DISCUSSÕES ORAIS DE TEMAS CONTROVERSOS DE INTERESSE DA TURMA E/OU DE RELEVÂNCIA SOCIAL: - ELEMENTOS CONSTITUTIVOS DA DISCURSIVIDADE.;23
ESTRATÉGIAS DE PRODUÇÃO: - ENTREVISTAS ORAIS - DEFINIÇÃO, ELEMENTOS CONSTITUTIVOS, TEMA AMAZÔNICO E NACIONAL, CONTEXTO, FINALIDADES, SELEÇÃO DE FATO/ASSUNTO, INFORMAÇÕES SOBRE O ENTREVISTADO, ELABORAÇÃO DE ROTEIRO DE PERGUNTAS, EXECUÇÃO E REGISTRO.;23
MODALIZAÇÃO: - TEXTOS JURÍDICOS QUE REPRESENTAM VALORES E POSIÇÕES.;23
CONSTRUÇÃO COMPOSICIONAL E ESTILO/ GÊNEROS DE DIVULGAÇÃO CIENTÍFICA: - INFORMAÇÃO, VOCABULÁRIO TÉCNICO E PONTOS DE VISTA.;23
ESTRATÉGIAS DE PRODUÇÃO - PLANEJAMENTO DE TEXTOS ARGUMENTATIVOS E APRECIATIVOS: - CARACTERÍSTICAS DOGÊNERO - ELEMENTOS ESTRUTURAIS, POSICIONAMENTOS, INFORMAÇÕES IMPLÍCITAS E EXPLÍCITAS, NORMA-PADRÃO, MARCAS LINGUÍSTICAS, EFEITOS DE SENTIDOS (...);24
REVISÃO/EDIÇÃO DE TEXTO INFORMATIVO E OPINATIVO: - REVISÃO DE TEXTOS PRODUZIDOS.;24
PLANEJAMENTO DE TEXTOS DE PEÇAS PUBLICITÁRIAS DE CAMPANHAS SOCIAIS: - ESTRATÉGIAS DISCURSIVAS DE PERSUASÃO E/OU CONVENCIMENTO.;24
ESTRATÉGIA DE PRODUÇÃO - PLANEJAMENTO DE TEXTOS REIVINDICATÓRIOS OU PROPOSITIVOS: - ENQUETES E PESQUISAS DE OPINIÃO.;24
CONSTRUÇÃO DA TEXTUALIDADE: - CONSTRUÇÃO DE CONTOSE CRÔNICAS, UTILIZANDO OS ELEMENTOS CONSTITUTIVOS DA NARRATIVA DE AVENTURA E FICÇÃO, RECURSOS EXPRESSIVOS, MODOS DE INICIAR A NARRATIVA, TIPOS DE DISCURSOS, LINGUAGEM EMPREGADA, LEVANDO EM (...);24
REGISTRO: - REGISTRO DAS INFORMAÇÕES PARA DOCUMENTAR EVENTOS- DISCUSSÕES, DEBATES, PALESTRAS, APRESENTAÇÃO DE PROPOSTAS E REUNIÕES.;24
