id;escola;coordenadoria_id;turno;escola_id;serie;turno_id
1;EETI Antonio Teles de Souza;1;Integral;1;;
2;EETI Hermenegildo de Campos;1;Integral;2;;
3;Ceja Profa. Jacira Caboclo;1;Matutino;3;;
4;EE Getulio Vargas;1;Vespertino;3;;
5;EETI Helena Araujo;1;Noturno;3;;
6;EE Izabel Barroncas;1;Matutino;4;;
7;EE Marcio Nery;1;Vespertino;4;;
8;EE Padre Agostinho Martin;1;Noturno;4;;
9;EETI Conego Azevedo;1;Integral;5;;
10;EE Nossa Senhora Aparecida;1;Matutino;6;;
11;EE Vicente Schettini;1;Vespertino;6;;
12;EE Prof. Antenor Sarmento;1;Noturno;6;;
13;EE Princeza Isabel;1;Matutino;7;;
14;EE Profa. Eunice Serrano Telles de Souza;1;Vespertino;7;;
15;EETI Ribeiro da Cunha;1;Noturno;7;;
16;Instituto de Educacao do Amazonas;1;Matutino;8;;
17;Colegio Amazonense Dom Pedro II;1;Vespertino;8;;
18;Colegio Brasileiro Pedro Silvestre;1;Noturno;8;;
19;EE Barao do Rio Branco;1;Integral;9;;
20;EE Augusto Carneiro dos Santos;1;Matutino;10;;
21;EE Diofanto Vieira Monteiro;1;Vespertino;10;;
22;EE Frei Silvio Vagheggi;1;Noturno;10;;
23;EE Farias Britto;1;Matutino;11;;
24;EE Prof. Francisco Das Chagas de Souza Albuquerque;1;Vespertino;11;;
25;Ceja Prof. Paulo Freire;1;Noturno;11;;
26;EE Luizinha Nascimento;1;Matutino;12;;
27;EE Placido Serrano;1;Vespertino;12;;
28;EE 1º de Maio;1;Noturno;12;;
29;EE Santa Luzia;1;Matutino;13;;
30;EE Balbina Mestrinho;1;Vespertino;13;;
31;EE Carvalho Leal;1;Noturno;13;;
32;EE Euclydes da Cunha;1;Matutino;14;;
33;EE Ruy Araujo;1;Vespertino;14;;
34;EE Manoel Marcal de Araujo;1;Noturno;14;;
35;EE Giovanni Figliuolo;1;Integral;15;;
36;EE Almirante Ernesto Mello Baptista;2;Matutino;16;;
37;EE Estelita Tapajos;2;Vespertino;16;;
38;EETI Machado de Assis;2;Noturno;16;;
39;EE Monteiro de Souza;2;Matutino;17;;
40;CETI Gilberto Mestrinho de Medeiros Raposo;2;Vespertino;17;;
41;EE Profa. Diana Pinheiro;2;Noturno;17;;
42;EE J. G. Araujo;2;Matutino;18;;
43;EE Alfredo Campos;2;Vespertino;18;;
44;EE Lucinda Felix de Azevedo;2;Noturno;18;;
45;EE Luis de Camoes;2;Matutino;19;;
46;EE Nathalia Uchoa;2;Vespertino;19;;
47;EE Profa. Ondina de Paula Ribeiro;2;Noturno;19;;
48;EE Prof. Benicio Leao;2;Matutino;20;;
49;EE Nossa Senhora da Divina Providencia;2;Vespertino;20;;
50;EE Prof. Nelson Alves Ferreira;2;Noturno;20;;
51;EE Milburges Araujo;2;Matutino;21;;
52;EE Senador Cunha Melo;2;Vespertino;21;;
53;EETI Isaac Benzecry;2;Noturno;21;;
54;EE Mestre Otilio;2;Matutino;22;;
55;EETI Profa. Roxana Pereira Bonessi;2;Vespertino;22;;
56;EE Major Silva Coutinho;2;Noturno;22;;
57;EE Sant Ana;2;Matutino;23;;
58;EETI Prof. Djalma da Cunha Batista;2;Vespertino;23;;
59;Colegio Militar da Policia Militar do Amazonas;2;Noturno;23;;
60;EE Tiradentes;2;Matutino;24;;
61;EETI Profa. Jacimar da Silva Gama;2;Vespertino;24;;
62;Anexo do Colegio Militar da Policia Militar do Amazonas I;2;Noturno;24;;
63;EE Bom Pastor;2;Matutino;25;;
64;EE Dorval Porto;2;Vespertino;25;;
65;EETI Jose Carlos Mestrinho;2;Noturno;25;;
66;EE Adalberto Vale;2;Matutino;26;;
67;EE Antonio de Lucena Bittencourt;2;Vespertino;26;;
68;EE Paula Angela Frassinetti;2;Noturno;26;;
69;EE Leopoldo Neves;2;Matutino;27;;
70;EETI Madre Tereza de Calcuta;2;Vespertino;27;;
71;EE Brig. Joao Camarao Telles Ribeiro;2;Noturno;27;;
72;EE Senador Antovila Mourao Vieira;2;Matutino;28;;
73;Anexo EE Jacimar S Gama;2;Vespertino;28;;
74;EE Solon de Lucena;3;Noturno;28;;
75;EE Vicente Telles;3;Matutino;29;;
76;EE Maria da Luz Calderaro;3;Vespertino;29;;
77;EETI Maria Rodrigues Tapajos;3;Noturno;29;;
78;EE Tereza de Jesus Azevedo de Vasconcelos Dias;3;Matutino;30;;
79;EE Thome de Medeiros Raposo;3;Vespertino;30;;
80;EETI Santa Terezinha;3;Noturno;30;;
81;EE Angelo Ramazzotti;3;Matutino;31;;
82;EE de Atendimento Especial Mayara Redman Abdel;3;Vespertino;31;;
83;EE Menino Jesus de Praga;3;Noturno;31;;
84;EE Olga Falcone;3;Matutino;32;;
85;EE Aderson de Menezes;3;Vespertino;32;;
86;EE Profa. Alice Salerno Gomes de Lima;3;Noturno;32;;
87;EETI Altair Severiano Nunes;3;Matutino;33;;
88;EE Profa. Leonilia Marinho;3;Vespertino;33;;
89;EE Profa. Alda Barata;3;Noturno;33;;
90;EE Ten. Coronel Candido Jose Mariano;3;Matutino;34;;
91;EETI Francisca Botinelly Cunha E Silva;3;Vespertino;34;;
92;EETI Goncalves Dias;3;Noturno;34;;
93;EE Maria Amelia do Espirito Santo;3;Matutino;35;;
94;EETI Senador Petronio Portella;3;Vespertino;35;;
95;EE Raimundo Gomes Nogueira;3;Noturno;35;;
96;EE Rosina Ferreira da Silva;3;Matutino;36;;
97;EE Humberto de Campos;3;Vespertino;36;;
98;EE Francelina Dantas;3;Noturno;36;;
99;EE Senador Manuel Severiano Nunes;3;Matutino;37;;
100;EETI Maria de Lourdes Rodrigues Arruda;3;Vespertino;37;;
101;EE Prof. Waldir Garcia;3;Noturno;37;;
102;Anexo da EE Josephina de Melo - Dagmar Feitosa;3;Integral;38;;
103;Anexo da EE Josephina de Melo - Marise Mendes;3;Matutino;39;;
104;EE Profa. Adelaide Tavares de Macedo;3;Vespertino;39;;
105;EE Terezinha Almeida da Silva;3;Noturno;39;;
106;Anexo da EE Josephina de Melo - Raimundo Parente;3;Integral;40;;
107;EETI Almirante Barroso;3;Matutino;41;;
108;EE Arthur Araujo;3;Vespertino;41;;
109;EE Herbert Palhano;3;Noturno;41;;
110;EETI Profa Leonor Santiago Mourao;3;Matutino;42;;
111;EETI Nossa Senhora Das Gracas;3;Vespertino;42;;
112;EE Jose Bentes Monteiro;3;Noturno;42;;
113;EE Simon Bolivar;3;Matutino;43;;
114;Ceja Prof. Agenor Ferreira Lima;3;Vespertino;43;;
115;EE Amelia Bittencourt Cardinale;4;Noturno;43;;
116;EE Benjamin Magalhaes Brandao;4;Matutino;44;;
117;EE Duque de Caxias;4;Vespertino;44;;
118;EE Senador Flavio da Costa Brito;4;Noturno;44;;
119;EE Julia Bittencourt;4;Matutino;45;;
120;EE Pe Pedro Gislandy;4;Vespertino;45;;
121;EE Waldemiro Peres Lustoza;4;Noturno;45;;
122;EE Joao Bosco Pantoja Evangelista;4;Matutino;46;;
123;EE Coronel Pedro Camara;4;Vespertino;46;;
124;EE Fueth Paulo Mourao;4;Noturno;46;;
125;EE General Sampaio;4;Matutino;47;;
126;EE Isaac Benayon Sabba;4;Vespertino;47;;
127;EE Presidente Castelo Branco;4;Noturno;47;;
128;EETI Zulmira Bittencourt;4;Matutino;48;;
129;EE Agnello Bittencourt;4;Vespertino;48;;
130;CETI Aurea Pinheiro Braga;4;Noturno;48;;
131;EETI Liberalina Weill;4;Matutino;49;;
132;EETI Governador Melo Povoas;4;Vespertino;49;;
133;EE Santo Antonio;4;Noturno;49;;
134;EE Antonio Bittencourt;4;Matutino;50;;
135;EE Joanna Rodrigues Vieira;4;Vespertino;50;;
136;EE Nª Sª da Gloria;4;Noturno;50;;
137;EETI Marques de Santa Cruz;4;Matutino;51;;
138;EE Olavo Bilac;4;Vespertino;51;;
139;EE Pedro Silvestre;4;Noturno;51;;
140;EE Sao Luiz de Gonzaga;4;Matutino;52;;
141;EE Marechal Hermes;4;Vespertino;52;;
142;EETI Irma Adonai Politi;4;Noturno;52;;
143;EE Antonio da Encarnacao Filho;4;Integral;53;;
144;EE Prof. Jose Ribamar da Costa;4;Matutino;54;;
145;EE Itacyara Nogueira Pinho;4;Vespertino;54;;
146;EE Alfredo Fernandes;4;Noturno;54;;
147;EE Samsung Amazonas;4;Integral;55;;
148;EE Profa. Bernardete do Socorro Trindade da Rocha;5;Matutino;56;;
149;EE Dr Isaac Sverner;5;Vespertino;56;;
150;EE Dom Jacson Damasceno Rodrigues;5;Noturno;56;;
151;EE Roderick de Castello Branco;5;Matutino;57;;
152;EE Ernesto Penafort;5;Vespertino;57;;
153;EE Prof. Jorge Karam Neto;5;Noturno;57;;
154;EE Prof. Rofran Belchior da Silva;5;Integral;58;;
155;EE Gilberto Mestrinho;5;Matutino;59;;
156;EE Manuel Antonio de Souza;5;Vespertino;59;;
157;EE Jairo da Silva Rocha;5;Noturno;59;;
158;EE Prof. Ernane Nascimento Simao;5;Matutino;60;;
159;EE Aurea Pinheiro Braga;5;Vespertino;60;;
160;EETI Irma Gabrielle Cogels;5;Noturno;60;;
161;Anexo da EE Irma Gabrielle Cogels;5;Integral;61;;
162;EE Prof. Aristoteles Comte de Alencar;5;Matutino;62;;
163;EE Cacilda Braule Pinto;5;Vespertino;62;;
164;EE Dep Josue Claudio de Souza;5;Integral;62;;
165;EETI Profa Maria Arminda Guimaraes de Andrade;5;Matutino;63;;
